date,equity,daily_return
2019-01-02,1000000.0,0.0
2019-01-03,999449.9755,-0.05500245000000792
2019-01-04,1016223.1658,1.6782421042742746
2019-01-05,1070352.9525,5.326564924091981
2019-01-06,1070352.9525,0.0
2019-01-07,1070352.9525,0.0
2019-01-08,1092329.8947,2.0532425447763902
2019-01-09,1084262.6562,-0.7385349919600603
2019-01-10,1081476.1004,-0.2570000713448928
2019-01-11,1070780.9166,-0.9889431487246192
2019-01-12,1070780.9166,0.0
2019-01-13,1070780.9166,0.0
2019-01-14,1070780.9166,0.0
2019-01-15,1062480.1834,-0.7752036921200522
2019-01-16,1061628.5428,-0.08015590439294229
2019-01-17,1061855.6895,0.021396061884426665
2019-01-18,1064541.8241,0.25296606935965027
2019-01-19,1087071.4599,2.1163692482488505
2019-01-20,1087071.4599,0.0
2019-01-21,1087071.4599,0.0
2019-01-22,1087071.4599,0.0
2019-01-23,1097523.1619,0.9614549167689113
2019-01-24,1078998.6343,-1.6878484430279173
2019-01-25,1061244.4972,-1.6454272077478516
2019-01-26,1055918.3957,-0.501873179465484
2019-01-27,1055918.3957,0.0
2019-01-28,1055918.3957,0.0
2019-01-29,1044448.0007,-1.0862955931737472
2019-01-30,1046413.1079,0.18814792107246792
2019-01-31,1059716.3581,1.2713191472436547
2019-02-01,1077722.0465,1.699104506821314
2019-02-02,1067091.2481,-0.9864137450397714
2019-02-03,1067091.2481,0.0
2019-02-04,1067091.2481,0.0
2019-02-05,1075730.192,0.8095787417788269
2019-02-06,1077566.6884,0.17072091251670862
2019-02-07,1071942.3602,-0.5219471110740503
2019-02-08,1064362.0371,-0.7071577149526553
2019-02-09,1064390.3727,0.0026622144545074278
2019-02-10,1064390.3727,0.0
2019-02-11,1064390.3727,0.0
2019-02-12,1057497.3609,-0.6476018551835216
2019-02-13,1064773.4528,0.6880482324615578
2019-02-14,1060089.6091,-0.4398911043173692
2019-02-15,1051893.8816,-0.7731164827620596
2019-02-16,1049389.7529,-0.23805906126110887
2019-02-17,1049389.7529,0.0
2019-02-18,1049389.7529,0.0
2019-02-19,1049389.7529,0.0
2019-02-20,1040707.7391,-0.8273392965775672
2019-02-21,1035919.4817,-0.46009626142886617
2019-02-22,1030384.1438,-0.5343405542403978
2019-02-23,1030188.5404,-0.018983541349781863
2019-02-24,1030188.5404,0.0
2019-02-25,1030188.5404,0.0
2019-02-26,1025729.8979,-0.43279868928350895
2019-02-27,1021412.0709,-0.42095165684844504
2019-02-28,1013103.2512,-0.8134640207138721
2019-03-01,1013103.2512,0.0
2019-03-02,1012405.1312,-0.06890906718275414
2019-03-03,1012405.1312,0.0
2019-03-04,1012405.1312,0.0
2019-03-05,1001523.4466,-1.0748349909192823
2019-03-06,991015.4885,-1.0491974137672666
2019-03-07,1008368.6001,1.751043429832344
2019-03-08,1003522.8553,-0.48055292474591393
2019-03-09,1002196.2994,-0.1321899040957586
2019-03-10,1002196.2994,0.0
2019-03-11,1002196.2994,0.0
2019-03-12,1044286.7939,4.199825376046484
2019-03-13,1040604.4342,-0.3526195793636222
2019-03-14,1041433.1721,0.07964005079770242
2019-03-15,1035249.4405,-0.5937713302842762
2019-03-16,1024134.0776,-1.073689341443318
2019-03-17,1024134.0776,0.0
2019-03-18,1024134.0776,0.0
2019-03-19,1014454.1421,-0.9451824435609324
2019-03-20,1036252.8346,2.148810044274141
2019-03-21,1029812.4632,-0.6215057932735135
2019-03-22,1069538.7434,3.857622782749792
2019-03-23,1086604.2137,1.595591595471313
2019-03-24,1086604.2137,0.0
2019-03-25,1086604.2137,0.0
2019-03-26,1080607.5179,-0.5518748891632286
2019-03-27,1073209.8342,-0.6845856222041147
2019-03-28,1057260.7927,-1.4861065368347748
2019-03-29,1057260.7927,0.0
2019-03-30,1057260.7927,0.0
2019-03-31,1057260.7927,0.0
2019-04-01,1057260.7927,0.0
2019-04-02,1064930.0493,0.7253892940089601
2019-04-03,1060921.4246,-0.37642140933434876
2019-04-04,1060000.6822,-0.08678704931868175
2019-04-05,1050500.7829,-0.8962163383030242
2019-04-06,1049023.3089,-0.14064473097499253
2019-04-07,1049023.3089,0.0
2019-04-08,1049023.3089,0.0
2019-04-09,1048795.142,-0.021750412794863117
2019-04-10,1049438.5518,0.06134751909443459
2019-04-11,1048815.0561,-0.059412311366935366
2019-04-12,1041107.28,-0.7349032658494736
2019-04-13,1038463.6577,-0.25392410088612705
2019-04-14,1038463.6577,0.0
