date,equity,daily_return
2019-01-02,1000000.0,0.0
2019-01-03,998498.7285,-0.1501271500000012
2019-01-04,1022171.2122,2.370807595875668
2019-01-05,1050279.9078,2.7499009231048532
2019-01-06,1050279.9078,0.0
2019-01-07,1050279.9078,0.0
2019-01-08,1072011.961,2.069167756005319
2019-01-09,1064011.0025,-0.7463497415212128
2019-01-10,1061206.3427,-0.26359312012848024
2019-01-11,1057669.9427,-0.3332433908190158
2019-01-12,1057669.9427,0.0
2019-01-13,1057669.9427,0.0
2019-01-14,1057669.9427,0.0
2019-01-15,1052258.5699,-0.5116315195821786
2019-01-16,1055274.6696,0.286631041673191
2019-01-17,1059381.9698,0.3892162219298889
2019-01-18,1061406.5798,0.1911123709592788
2019-01-19,1098521.5187,3.4967692500072367
2019-01-20,1098521.5187,0.0
2019-01-21,1098521.5187,0.0
2019-01-22,1098521.5187,0.0
2019-01-23,1118215.5235,1.7927736930730465
2019-01-24,1096468.639,-1.944784707686087
2019-01-25,1083685.9213,-1.165807871318414
2019-01-26,1078926.0813,-0.4392268928150478
2019-01-27,1078926.0813,0.0
2019-01-28,1078926.0813,0.0
2019-01-29,1073366.2418,-0.5153123644300983
2019-01-30,1068532.0294,-0.45037865098990215
2019-01-31,1093305.7667,2.3184833601956445
2019-02-01,1102644.4,0.8541648260200096
2019-02-02,1091810.3124,-0.9825549923438537
2019-02-03,1091810.3124,0.0
2019-02-04,1091810.3124,0.0
2019-02-05,1092483.7544,0.0616812272563827
2019-02-06,1100933.3615,0.7734309151938623
2019-02-07,1091359.56,-0.8696077196676089
2019-02-08,1081003.6447,-0.9489004063885198
2019-02-09,1081296.1104,0.027055015164267893
2019-02-10,1081296.1104,0.0
2019-02-11,1081296.1104,0.0
2019-02-12,1069626.8035,-1.0791962338311922
2019-02-13,1066106.0749,-0.3291548592910698
2019-02-14,1058635.3781,-0.7007461054661546
2019-02-15,1045716.2649,-1.2203553241520115
2019-02-16,1041607.2016,-0.3929424680405913
2019-02-17,1041607.2016,0.0
2019-02-18,1041607.2016,0.0
2019-02-19,1041607.2016,0.0
2019-02-20,1031484.126,-0.9718707382639136
2019-02-21,1024377.0636,-0.6890132597154541
2019-02-22,1021556.717,-0.2753230914882443
2019-02-23,1021556.717,0.0
2019-02-24,1021556.717,0.0
2019-02-25,1021556.717,0.0
2019-02-26,1016471.2454,-0.4978158838732316
2019-02-27,1008938.7923,-0.741039467086535
2019-02-28,1011618.1037,0.265557377756509
2019-03-01,1011618.1037,0.0
2019-03-02,1020150.6788,0.8434581260252427
2019-03-03,1020150.6788,0.0
2019-03-04,1020150.6788,0.0
2019-03-05,1007443.8684,-1.2455817227850052
2019-03-06,996858.9691,-1.050668889057882
2019-03-07,1017111.4966,2.031634175723429
2019-03-08,1012558.467,-0.4476431163367933
2019-03-09,1010193.9485,-0.2335192067481784
2019-03-10,1010193.9485,0.0
2019-03-11,1010193.9485,0.0
2019-03-12,1051643.8911,4.103166789065349
2019-03-13,1045483.0355,-0.5858309692224561
2019-03-14,1048228.512,0.26260363934904607
2019-03-15,1037864.0207,-0.9887625819512191
2019-03-16,1023698.4995,-1.3648725572398046
2019-03-17,1023698.4995,0.0
2019-03-18,1023698.4995,0.0
2019-03-19,1022804.0321,-0.0873760585208383
2019-03-20,1071064.3406,4.718431584681282
2019-03-21,1064670.7406,-0.5969389286565652
2019-03-22,1107684.1094,4.040063012885997
2019-03-23,1127226.3664,1.7642445923130134
2019-03-24,1127226.3664,0.0
2019-03-25,1127226.3664,0.0
2019-03-26,1116926.5178,-0.9137338255220451
2019-03-27,1110799.0223,-0.5486032789398965
2019-03-28,1098618.8202,-1.0965261811970328
2019-03-29,1098618.8202,0.0
2019-03-30,1098618.8202,0.0
2019-03-31,1098618.8202,0.0
2019-04-01,1098618.8202,0.0
2019-04-02,1108360.3379,0.8867058820480223
2019-04-03,1101411.3755,-0.626958775263109
2019-04-04,1103205.5606,0.16289872611723322
2019-04-05,1103205.5606,0.0
2019-04-06,1100365.5571,-0.2574319420992843
2019-04-07,1100365.5571,0.0
2019-04-08,1100365.5571,0.0
2019-04-09,1100365.5571,0.0
2019-04-10,1105496.2559,0.46627220989374774
2019-04-11,1104564.3685,-0.08429584406337565
2019-04-12,1096987.3897,-0.6859698733800101
2019-04-13,1093794.2517,-0.2910824709546844
2019-04-14,1093794.2517,0.0
2019-04-15,1093794.2517,0.0
2019-04-16,1099457.0616,0.5177216730841927
2019-04-17,1109819.1925,0.9424770881839128
2019-04-18,1114974.3024,0.46449997754927086
2019-04-19,1114974.3024,0.0
2019-04-20,1114974.3024,0.0
2019-04-21,1114974.3024,0.0
2019-04-22,1114974.3024,0.0
2019-04-23,1112335.7853,-0.2366437589028214
2019-04-24,1109549.5673,-0.2504835353515755
2019-04-25,1103923.92,-0.5070208186993996
2019-04-26,1121356.6758,1.5791627923054774
2019-04-27,1116498.5037,-0.43324057410494277
2019-04-28,1116498.5037,0.0
2019-04-29,1116498.5037,0.0
2019-04-30,1124075.8715,0.6786724545432943
2019-05-01,1111906.6293,-1.0825997166686752
2019-05-02,1123334.8848,1.027807119667501
2019-05-03,1116806.2199,-0.5811859836581612
2019-05-04,1135479.906,1.6720614344064133
2019-05-05,1135479.906,0.0
2019-05-06,1135479.906,0.0
2019-05-07,1135479.906,0.0
2019-05-08,1136829.2546,0.11883509279821958
2019-05-09,1136998.9458,0.014926709469631483
2019-05-10,1131222.2633,-0.5080640154802918
2019-05-11,1113969.2587,-1.5251648734060153
2019-05-12,1113969.2587,0.0
2019-05-13,1113969.2587,0.0
2019-05-14,1115831.2856,0.16715244926714945
2019-05-15,1107161.0043,-0.7770243953446831
2019-05-16,1107161.0043,0.0
2019-05-17,1100316.6745,-0.618187397624903
2019-05-18,1087694.398,-1.1471494336605992
2019-05-19,1087694.398,0.0
2019-05-20,1087694.398,0.0
2019-05-21,1076828.8237,-0.9989546990385456
2019-05-22,1073822.7719,-0.27915781355769553
2019-05-23,1076652.4219,0.2635118265366332
2019-05-24,1070998.9943,-0.5250931020081007
2019-05-25,1075787.0572,0.4470651163523742
2019-05-26,1075787.0572,0.0
2019-05-27,1075787.0572,0.0
2019-05-28,1075787.0572,0.0
2019-05-29,1095031.6436,1.7888843587771763
2019-05-30,1077562.621,-1.595298428323888
2019-05-31,1073245.2606,-0.40065981464664224
2019-06-01,1073245.2606,0.0
2019-06-02,1073245.2606,0.0
2019-06-03,1073245.2606,0.0
2019-06-04,1056510.3454,-1.5592815374413371
2019-06-05,1104972.3916,4.586992111435695
2019-06-06,1105185.1146,0.019251431222810922
2019-06-07,1117538.9913,1.117810630707905
2019-06-08,1105082.9786,-1.1145931190741143
2019-06-09,1105082.9786,0.0
2019-06-10,1105082.9786,0.0
2019-06-11,1095411.2651,-0.8752024678049919
2019-06-12,1094796.6251,-0.056110432636802265
2019-06-13,1090977.7805,-0.34881771759673885
2019-06-14,1083808.5102,-0.6571417336029062
2019-06-15,1081605.8011,-0.2032378486854114
2019-06-16,1081605.8011,0.0
2019-06-17,1081605.8011,0.0
2019-06-18,1098615.2735,1.572612904137638
2019-06-19,1095257.7142,-0.3056173877233004
2019-06-20,1095257.7142,0.0
2019-06-21,1090098.798,-0.4710230417110828
2019-06-22,1090098.798,0.0
